airline,airline_id,s_airport,s_airport_id,d_airport,d_airport_id,s_name,s_city,s_country,s_ICAO,s_latitude,s_longitude,s_altitude,s_timezone,d_name,d_city,d_country,d_ICAO,d_latitude,d_longitude,d_altitude,d_timezone,distance(Km)
3M,20710,GHB,1944,FLL,3533,Governor's Harbour Airport,Governor's Harbor,Bahamas,MYEM,25.2847003937,-76.3310012817,26,-5,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,KFLL,26.072599,-80.152702,9,-5,392.85965698360343
3M,20710,MCO,3878,FLL,3533,Orlando International Airport,Orlando,United States,KMCO,28.429399490356445,-81.30899810791016,96,-5,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,KFLL,26.072599,-80.152702,9,-5,285.90139605879926
3M,20710,MHH,1930,FLL,3533,Leonard M Thompson International Airport,Marsh Harbor,Bahamas,MYAM,26.5114,-77.083503,6,-5,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,KFLL,26.072599,-80.152702,9,-5,309.83100753883144
3M,20710,TCB,1934,FLL,3533,Treasure Cay Airport,Treasure Cay,Bahamas,MYAT,26.745300293,-77.3912963867,8,-5,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,KFLL,26.072599,-80.152702,9,-5,284.99425375123343
3M,20710,TPA,3646,FLL,3533,Tampa International Airport,Tampa,United States,KTPA,27.975500106811523,-82.533203125,26,-5,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,KFLL,26.072599,-80.152702,9,-5,316.79935021492815
3M,20710,ELH,1943,PBI,3722,North Eleuthera Airport,North Eleuthera,Bahamas,MYEH,25.474899292,-76.6835021973,13,-5,Palm Beach International Airport,West Palm Beach,United States,KPBI,26.68320083618164,-80.09559631347656,19,-5,366.2900616821693
3M,20710,MHH,1930,PBI,3722,Leonard M Thompson International Airport,Marsh Harbor,Bahamas,MYAM,26.5114,-77.083503,6,-5,Palm Beach International Airport,West Palm Beach,United States,KPBI,26.68320083618164,-80.09559631347656,19,-5,300.0872540500142
3M,20710,TPA,3646,PBI,3722,Tampa International Airport,Tampa,United States,KTPA,27.975500106811523,-82.533203125,26,-5,Palm Beach International Airport,West Palm Beach,United States,KPBI,26.68320083618164,-80.09559631347656,19,-5,280.4016571063714
3M,20710,EYW,3875,RSW,3793,Key West International Airport,Key West,United States,KEYW,24.55610084533692,-81.75959777832031,3,-5,Southwest Florida International Airport,Fort Myers,United States,KRSW,26.53619956970215,-81.75520324707031,30,-5,220.17737373370926
3M,20710,MCO,3878,RSW,3793,Orlando International Airport,Orlando,United States,KMCO,28.429399490356445,-81.30899810791016,96,-5,Southwest Florida International Airport,Fort Myers,United States,KRSW,26.53619956970215,-81.75520324707031,30,-5,215.06598391292644
3M,20710,EYW,3875,TPA,3646,Key West International Airport,Key West,United States,KEYW,24.55610084533692,-81.75959777832031,3,-5,Tampa International Airport,Tampa,United States,KTPA,27.975500106811523,-82.533203125,26,-5,387.9620401160826
3M,20710,FLL,3533,TPA,3646,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,KFLL,26.072599,-80.152702,9,-5,Tampa International Airport,Tampa,United States,KTPA,27.975500106811523,-82.533203125,26,-5,316.79935021492815
3M,20710,GNV,3472,TPA,3646,Gainesville Regional Airport,Gainesville,United States,KGNV,29.6900997162,-82.2717971802,152,-5,Tampa International Airport,Tampa,United States,KTPA,27.975500106811523,-82.533203125,26,-5,192.34746297189716
3M,20710,JAX,3712,TPA,3646,Jacksonville International Airport,Jacksonville,United States,KJAX,30.49410057067871,-81.68789672851562,30,-5,Tampa International Airport,Tampa,United States,KTPA,27.975500106811523,-82.533203125,26,-5,291.81588713307895
3M,20710,PBI,3722,TPA,3646,Palm Beach International Airport,West Palm Beach,United States,KPBI,26.68320083618164,-80.09559631347656,19,-5,Tampa International Airport,Tampa,United States,KTPA,27.975500106811523,-82.533203125,26,-5,280.4016571063714
3M,20710,PNS,3564,TPA,3646,Pensacola Regional Airport,Pensacola,United States,KPNS,30.473400115967,-87.186599731445,121,-6,Tampa International Airport,Tampa,United States,KTPA,27.975500106811523,-82.533203125,26,-5,530.0707250294574
3M,20710,TLH,3698,TPA,3646,Tallahassee Regional Airport,Tallahassee,United States,KTLH,30.396499633789062,-84.35030364990234,81,-5,Tampa International Airport,Tampa,United States,KTPA,27.975500106811523,-82.533203125,26,-5,321.83470054698006
3M,20710,FLL,3533,BIM,1937,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,KFLL,26.072599,-80.152702,9,-5,South Bimini Airport,Alice Town,Bahamas,MYBS,25.6998996735,-79.2647018433,10,-5,98.02452722937417
3M,20710,FLL,3533,ELH,1943,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,KFLL,26.072599,-80.152702,9,-5,North Eleuthera Airport,North Eleuthera,Bahamas,MYEH,25.474899292,-76.6835021973,13,-5,353.66959623990005
3M,20710,PBI,3722,ELH,1943,Palm Beach International Airport,West Palm Beach,United States,KPBI,26.68320083618164,-80.09559631347656,19,-5,North Eleuthera Airport,North Eleuthera,Bahamas,MYEH,25.474899292,-76.6835021973,13,-5,366.2900616821693
3M,20710,FLL,3533,EYW,3875,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,KFLL,26.072599,-80.152702,9,-5,Key West International Airport,Key West,United States,KEYW,24.55610084533692,-81.75959777832031,3,-5,233.49785480727945
3M,20710,RSW,3793,EYW,3875,Southwest Florida International Airport,Fort Myers,United States,KRSW,26.53619956970215,-81.75520324707031,30,-5,Key West International Airport,Key West,United States,KEYW,24.55610084533692,-81.75959777832031,3,-5,220.17737373370926
3M,20710,TPA,3646,EYW,3875,Tampa International Airport,Tampa,United States,KTPA,27.975500106811523,-82.533203125,26,-5,Key West International Airport,Key West,United States,KEYW,24.55610084533692,-81.75959777832031,3,-5,387.9620401160826
3M,20710,FLL,3533,FPO,1948,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,KFLL,26.072599,-80.152702,9,-5,Grand Bahama International Airport,Freeport,Bahamas,MYGF,26.5587005615,-78.695602417,7,-5,154.96198748548977
3M,20710,FLL,3533,GGT,1941,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,KFLL,26.072599,-80.152702,9,-5,Exuma International Airport,Great Exuma,Bahamas,MYEF,23.5625991821,-75.8779983521,9,-5,513.7730602617561
3M,20710,FLL,3533,GHB,1944,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,KFLL,26.072599,-80.152702,9,-5,Governor's Harbour Airport,Governor's Harbor,Bahamas,MYEM,25.2847003937,-76.3310012817,26,-5,392.85965698360343
3M,20710,GGT,1941,GHB,1944,Exuma International Airport,Great Exuma,Bahamas,MYEF,23.5625991821,-75.8779983521,9,-5,Governor's Harbour Airport,Governor's Harbor,Bahamas,MYEM,25.2847003937,-76.3310012817,26,-5,196.90418041738073
3M,20710,FLL,3533,MCO,3878,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,KFLL,26.072599,-80.152702,9,-5,Orlando International Airport,Orlando,United States,KMCO,28.429399490356445,-81.30899810791016,96,-5,285.90139605879926
3M,20710,GNV,3472,MCO,3878,Gainesville Regional Airport,Gainesville,United States,KGNV,29.6900997162,-82.2717971802,152,-5,Orlando International Airport,Orlando,United States,KMCO,28.429399490356445,-81.30899810791016,96,-5,168.54706771715425
3M,20710,MCN,3754,MCO,3878,Middle Georgia Regional Airport,Macon,United States,KMCN,32.69279861450195,-83.64920043945312,354,-5,Orlando International Airport,Orlando,United States,KMCO,28.429399490356445,-81.30899810791016,96,-5,524.3084919130907
3M,20710,MHH,1930,MCO,3878,Leonard M Thompson International Airport,Marsh Harbor,Bahamas,MYAM,26.5114,-77.083503,6,-5,Orlando International Airport,Orlando,United States,KMCO,28.429399490356445,-81.30899810791016,96,-5,468.21508892408
3M,20710,PNS,3564,MCO,3878,Pensacola Regional Airport,Pensacola,United States,KPNS,30.473400115967,-87.186599731445,121,-6,Orlando International Airport,Orlando,United States,KMCO,28.429399490356445,-81.30899810791016,96,-5,612.6977112397853
3M,20710,RSW,3793,MCO,3878,Southwest Florida International Airport,Fort Myers,United States,KRSW,26.53619956970215,-81.75520324707031,30,-5,Orlando International Airport,Orlando,United States,KMCO,28.429399490356445,-81.30899810791016,96,-5,215.06598391292644
3M,20710,TLH,3698,MCO,3878,Tallahassee Regional Airport,Tallahassee,United States,KTLH,30.396499633789062,-84.35030364990234,81,-5,Orlando International Airport,Orlando,United States,KMCO,28.429399490356445,-81.30899810791016,96,-5,366.88387211461196
3M,20710,FLL,3533,MHH,1930,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,KFLL,26.072599,-80.152702,9,-5,Leonard M Thompson International Airport,Marsh Harbor,Bahamas,MYAM,26.5114,-77.083503,6,-5,309.83100753883144
3M,20710,JAX,3712,MHH,1930,Jacksonville International Airport,Jacksonville,United States,KJAX,30.49410057067871,-81.68789672851562,30,-5,Leonard M Thompson International Airport,Marsh Harbor,Bahamas,MYAM,26.5114,-77.083503,6,-5,631.1732893354424
3M,20710,MCO,3878,MHH,1930,Orlando International Airport,Orlando,United States,KMCO,28.429399490356445,-81.30899810791016,96,-5,Leonard M Thompson International Airport,Marsh Harbor,Bahamas,MYAM,26.5114,-77.083503,6,-5,468.21508892408
3M,20710,PBI,3722,MHH,1930,Palm Beach International Airport,West Palm Beach,United States,KPBI,26.68320083618164,-80.09559631347656,19,-5,Leonard M Thompson International Airport,Marsh Harbor,Bahamas,MYAM,26.5114,-77.083503,6,-5,300.0872540500142
3M,20710,FLL,3533,TCB,1934,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,KFLL,26.072599,-80.152702,9,-5,Treasure Cay Airport,Treasure Cay,Bahamas,MYAT,26.745300293,-77.3912963867,8,-5,284.99425375123343
3M,20710,LWB,6958,ATL,3682,Greenbrier Valley Airport,Lewisburg,United States,KLWB,37.8582992554,-80.3994979858,2302,-5,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,KATL,33.6367,-84.428101,1026,-5,593.6018156374658
3M,20710,MCN,3754,ATL,3682,Middle Georgia Regional Airport,Macon,United States,KMCN,32.69279861450195,-83.64920043945312,354,-5,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,KATL,33.6367,-84.428101,1026,-5,127.56214982134829
3M,20710,MEI,4335,ATL,3682,Key Field,Meridian,United States,KMEI,32.33259963989258,-88.75189971923828,297,-6,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,KATL,33.6367,-84.428101,1026,-5,428.5226936127187
3M,20710,MSL,5756,ATL,3682,Northwest Alabama Regional Airport,Muscle Shoals,United States,KMSL,34.74530029,-87.61019897,551,-6,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,KATL,33.6367,-84.428101,1026,-5,317.55910886456644
3M,20710,PIB,5759,ATL,3682,Hattiesburg Laurel Regional Airport,Hattiesburg/Laurel,United States,KPIB,31.467100143432617,-89.33709716796875,298,-6,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,KATL,33.6367,-84.428101,1026,-5,519.4254219961723
3M,20710,TUP,5773,ATL,3682,Tupelo Regional Airport,Tupelo,United States,KTUP,34.26810073852539,-88.7698974609375,346,-6,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,KATL,33.6367,-84.428101,1026,-5,406.5452203978709
3M,20710,MCO,3878,GNV,3472,Orlando International Airport,Orlando,United States,KMCO,28.429399490356445,-81.30899810791016,96,-5,Gainesville Regional Airport,Gainesville,United States,KGNV,29.6900997162,-82.2717971802,152,-5,168.54706771715425
3M,20710,TPA,3646,GNV,3472,Tampa International Airport,Tampa,United States,KTPA,27.975500106811523,-82.533203125,26,-5,Gainesville Regional Airport,Gainesville,United States,KGNV,29.6900997162,-82.2717971802,152,-5,192.34746297189716
3M,20710,MCO,3878,PNS,3564,Orlando International Airport,Orlando,United States,KMCO,28.429399490356445,-81.30899810791016,96,-5,Pensacola Regional Airport,Pensacola,United States,KPNS,30.473400115967,-87.186599731445,121,-6,612.6977112397853
3M,20710,TPA,3646,PNS,3564,Tampa International Airport,Tampa,United States,KTPA,27.975500106811523,-82.533203125,26,-5,Pensacola Regional Airport,Pensacola,United States,KPNS,30.473400115967,-87.186599731445,121,-6,530.0707250294574
3M,20710,MCO,3878,TLH,3698,Orlando International Airport,Orlando,United States,KMCO,28.429399490356445,-81.30899810791016,96,-5,Tallahassee Regional Airport,Tallahassee,United States,KTLH,30.396499633789062,-84.35030364990234,81,-5,366.88387211461196
3M,20710,TPA,3646,TLH,3698,Tampa International Airport,Tampa,United States,KTPA,27.975500106811523,-82.533203125,26,-5,Tallahassee Regional Airport,Tallahassee,United States,KTLH,30.396499633789062,-84.35030364990234,81,-5,321.83470054698006
3M,20710,MHH,1930,JAX,3712,Leonard M Thompson International Airport,Marsh Harbor,Bahamas,MYAM,26.5114,-77.083503,6,-5,Jacksonville International Airport,Jacksonville,United States,KJAX,30.49410057067871,-81.68789672851562,30,-5,631.1732893354424
3M,20710,TPA,3646,JAX,3712,Tampa International Airport,Tampa,United States,KTPA,27.975500106811523,-82.533203125,26,-5,Jacksonville International Airport,Jacksonville,United States,KJAX,30.49410057067871,-81.68789672851562,30,-5,291.81588713307895
3M,20710,TUP,5773,GLH,6130,Tupelo Regional Airport,Tupelo,United States,KTUP,34.26810073852539,-88.7698974609375,346,-6,Mid Delta Regional Airport,Greenville,United States,KGLH,33.4828987121582,-90.98560333251952,131,-6,222.40049985391616
4U,2548,CGN,344,ALG,210,Cologne Bonn Airport,Cologne,Germany,EDDK,50.8658981323,7.1427397728,302,1,Houari Boumediene Airport,Algier,Algeria,DAAG,36.69100189208984,3.215409994125366,82,1,1606.8042876051134
4U,2548,CGN,344,ATH,3941,Cologne Bonn Airport,Cologne,Germany,EDDK,50.8658981323,7.1427397728,302,1,Eleftherios Venizelos International Airport,Athens,Greece,LGAV,37.9364013672,23.9444999695,308,2,1952.689988618654
4U,2548,STR,350,ATH,3941,Stuttgart Airport,Stuttgart,Germany,EDDS,48.6898994446,9.22196006775,1276,1,Eleftherios Venizelos International Airport,Athens,Greece,LGAV,37.9364013672,23.9444999695,308,2,1682.158036173202
4U,2548,CGN,344,CLY,1322,Cologne Bonn Airport,Cologne,Germany,EDDK,50.8658981323,7.1427397728,302,1,Calvi-Sainte-Catherine Airport,Calvi,France,LFKC,42.5244444,8.7930556,209,1,935.9622649344591
4U,2548,CGN,344,EDI,535,Cologne Bonn Airport,Cologne,Germany,EDDK,50.8658981323,7.1427397728,302,1,Edinburgh Airport,Edinburgh,United Kingdom,EGPH,55.95000076293945,-3.372499942779541,135,0,895.8076802463069
4U,2548,CGN,344,JMK,1468,Cologne Bonn Airport,Cologne,Germany,EDDK,50.8658981323,7.1427397728,302,1,Mikonos Airport,Mykonos,Greece,LGMK,37.43510055541992,25.348100662231445,405,2,2072.2844721076212
4U,2548,CGN,344,JTR,1479,Cologne Bonn Airport,Cologne,Germany,EDDK,50.8658981323,7.1427397728,302,1,Santorini Airport,Thira,Greece,LGSR,36.399200439453125,25.47929954528809,127,2,2171.0176748087574
4U,2548,CGN,344,KGS,1458,Cologne Bonn Airport,Cologne,Germany,EDDK,50.8658981323,7.1427397728,302,1,Kos Airport,Kos,Greece,LGKO,36.79330062866211,27.091699600219727,412,2,2224.4705164166426
4U,2548,CGN,344,KVA,1462,Cologne Bonn Airport,Cologne,Germany,EDDK,50.8658981323,7.1427397728,302,1,Alexander the Great International Airport,Kavala,Greece,LGKV,40.91329956054688,24.619199752807617,18,2,1740.0195465716808
4U,2548,STR,350,KVA,1462,Stuttgart Airport,Stuttgart,Germany,EDDS,48.6898994446,9.22196006775,1276,1,Alexander the Great International Airport,Kavala,Greece,LGKV,40.91329956054688,24.619199752807617,18,2,1486.6497756072044
4U,2548,CGN,344,LIS,1638,Cologne Bonn Airport,Cologne,Germany,EDDK,50.8658981323,7.1427397728,302,1,Humberto Delgado Airport (Lisbon Portela Airport),Lisbon,Portugal,LPPT,38.7813,-9.13592,374,0,1850.4544738557865
4U,2548,STR,350,LIS,1638,Stuttgart Airport,Stuttgart,Germany,EDDS,48.6898994446,9.22196006775,1276,1,Humberto Delgado Airport (Lisbon Portela Airport),Lisbon,Portugal,LPPT,38.7813,-9.13592,374,0,1833.0439330578831
4U,2548,CGN,344,PMO,1512,Cologne Bonn Airport,Cologne,Germany,EDDK,50.8658981323,7.1427397728,302,1,Falcone–Borsellino Airport,Palermo,Italy,LICJ,38.175999,13.091,65,1,1486.541628106779
4U,2548,CGN,344,PSA,1562,Cologne Bonn Airport,Cologne,Germany,EDDK,50.8658981323,7.1427397728,302,1,Pisa International Airport,Pisa,Italy,LIRP,43.683899,10.3927,6,1,835.1754220310766
4U,2548,CGN,344,PUY,1203,Cologne Bonn Airport,Cologne,Germany,EDDK,50.8658981323,7.1427397728,302,1,Pula Airport,Pula,Croatia,LDPL,44.89350128173828,13.922200202941896,274,1,833.9115959982407
4U,2548,CGN,344,RAK,1075,Cologne Bonn Airport,Cologne,Germany,EDDK,50.8658981323,7.1427397728,302,1,Menara Airport,Marrakech,Morocco,GMMX,31.6068992615,-8.03629970551,1545,0,2478.3906785092736
4U,2548,CGN,344,RHO,1472,Cologne Bonn Airport,Cologne,Germany,EDDK,50.8658981323,7.1427397728,302,1,Diagoras Airport,Rhodos,Greece,LGRP,36.405399322509766,28.086200714111328,17,2,2314.0196413970816
4U,2548,CGN,344,RLG,772,Cologne Bonn Airport,Cologne,Germany,EDDK,50.8658981323,7.1427397728,302,1,Rostock-Laage Airport,Laage,Germany,ETNL,53.9182014465,12.2783002853,138,1,486.21982581576924
4U,2548,STR,350,RLG,772,Stuttgart Airport,Stuttgart,Germany,EDDS,48.6898994446,9.22196006775,1276,1,Rostock-Laage Airport,Laage,Germany,ETNL,53.9182014465,12.2783002853,138,1,618.820796898394
4U,2548,CGN,344,STN,548,Cologne Bonn Airport,Cologne,Germany,EDDK,50.8658981323,7.1427397728,302,1,London Stansted Airport,London,United Kingdom,EGSS,51.8849983215,0.234999999404,348,0,492.4642154829361
4U,2548,HAJ,352,STN,548,Hannover Airport,Hannover,Germany,EDDV,52.461101532,9.68507957458,183,1,London Stansted Airport,London,United Kingdom,EGSS,51.8849983215,0.234999999404,348,0,647.1398550409789
4U,2548,STR,350,STN,548,Stuttgart Airport,Stuttgart,Germany,EDDS,48.6898994446,9.22196006775,1276,1,London Stansted Airport,London,United Kingdom,EGSS,51.8849983215,0.234999999404,348,0,729.9555717177536
4U,2548,CGN,344,TLV,1590,Cologne Bonn Airport,Cologne,Germany,EDDK,50.8658981323,7.1427397728,302,1,Ben Gurion International Airport,Tel-aviv,Israel,LLBG,32.01139831542969,34.88669967651367,135,2,3087.9854875246424
4D,442,CAI,1128,TLV,1590,Cairo International Airport,Cairo,Egypt,HECA,30.12190055847168,31.40559959411621,382,2,Ben Gurion International Airport,Tel-aviv,Israel,LLBG,32.01139831542969,34.88669967651367,135,2,392.486693184879
4U,2548,CGN,344,TUN,287,Cologne Bonn Airport,Cologne,Germany,EDDK,50.8658981323,7.1427397728,302,1,Tunis Carthage International Airport,Tunis,Tunisia,DTTA,36.85100173950195,10.22719955444336,22,1,1577.5180295395996
4U,2548,CGN,344,XRY,1226,Cologne Bonn Airport,Cologne,Germany,EDDK,50.8658981323,7.1427397728,302,1,Jerez Airport,Jerez,Spain,LEJR,36.74459838867188,-6.060110092163086,93,1,1887.942410653861
4U,2548,CGN,344,ZAG,1208,Cologne Bonn Airport,Cologne,Germany,EDDK,50.8658981323,7.1427397728,302,1,Zagreb Airport,Zagreb,Croatia,LDZA,45.7429008484,16.0687999725,353,1,870.9157536997383
4U,2548,STR,350,ZAG,1208,Stuttgart Airport,Stuttgart,Germany,EDDS,48.6898994446,9.22196006775,1276,1,Zagreb Airport,Zagreb,Croatia,LDZA,45.7429008484,16.0687999725,353,1,611.8492991643134
3O,9818,CMN,1074,BGY,1525,Mohammed V International Airport,Casablanca,Morocco,GMMN,33.36750030517578,-7.589970111846924,656,0,Il Caravaggio International Airport,Bergamo,Italy,LIME,45.673901,9.70417,782,1,2010.0845006579355
3O,9818,CMN,1074,BRU,302,Mohammed V International Airport,Casablanca,Morocco,GMMN,33.36750030517578,-7.589970111846924,656,0,Brussels Airport,Brussels,Belgium,EBBR,50.9014015198,4.48443984985,184,1,2182.6638045032755
3O,9818,NDR,5673,BRU,302,Nador International Airport,El Aroui,Morocco,GMMW,34.988800048799995,-3.0282099247,574,0,Brussels Airport,Brussels,Belgium,EBBR,50.9014015198,4.48443984985,184,1,1869.696175339892
3O,9818,TNG,1080,BRU,302,Ibn Batouta Airport,Tanger,Morocco,GMTT,35.726898193400004,-5.91689014435,62,0,Brussels Airport,Brussels,Belgium,EBBR,50.9014015198,4.48443984985,184,1,1881.245000610602
4U,2548,STR,350,BRU,302,Stuttgart Airport,Stuttgart,Germany,EDDS,48.6898994446,9.22196006775,1276,1,Brussels Airport,Brussels,Belgium,EBBR,50.9014015198,4.48443984985,184,1,419.5135356189335
3O,9818,CMN,1074,CUF,1534,Mohammed V International Airport,Casablanca,Morocco,GMMN,33.36750030517578,-7.589970111846924,656,0,Cuneo International Airport,Cuneo,Italy,LIMZ,44.547001,7.62322,1267,1,1804.2590542773128
